City,ID,Country,latitude,longitude,Date,Temperature,Cloudiness,Humidity,Wind Speed
totness,3382867,SR,5.88,-56.32,1588348025,301.85,92,76,3.92
georgetown,1735106,MY,5.41,100.34,1588348026,299.98,20,94,2.16
matagami,6067747,CA,49.75,-77.63,1588348027,277.15,90,93,1.5
steamboat springs,5582371,US,40.48,-106.83,1588347737,284.59,1,76,1.73
alice springs,2077895,AU,-23.7,133.88,1588348010,282.15,4,49,3.6
ust-omchug,2120047,RU,61.15,149.63,1588348031,265.68,92,89,1.4
provideniya,4031574,RU,64.38,-173.3,1588348032,269.2,31,92,2.54
goderich,5962442,CA,43.75,-81.72,1588347926,279.94,96,83,7.02
waingapu,1622318,ID,-9.66,120.26,1588348034,298.4,42,78,3.25
eraclea,3177373,IT,45.58,12.68,1588348035,291.81,20,77,3.6
lagoa,3372964,PT,39.05,-27.98,1588348037,290.48,100,83,11.08
turayf,101312,SA,31.67,38.66,1588348038,298.15,0,25,6.2
clyde river,5924351,CA,70.47,-68.59,1588348039,266.15,75,92,12.9
kavieng,2094342,PG,-2.57,150.8,1588348040,301.55,54,76,2.98
itarema,3393692,BR,-2.92,-39.92,1588348041,301.96,64,80,4.92
saran,2976050,FR,47.95,1.88,1588348042,289.01,70,72,8.2
victoria,1819729,HK,22.29,114.16,1588347927,296.8,8,78,1.34
elbistan,315795,TR,38.21,37.2,1588348045,286.64,55,45,2.98
lethem,3379316,GY,3.38,-59.8,1588348046,304.82,75,50,5.05
nipawin,6088469,CA,53.37,-104.0,1588348047,281.15,90,65,5.7
sao filipe,3374210,CV,14.9,-24.5,1588348048,299.47,0,57,3.19
iqaluit,5983720,CA,63.75,-68.51,1588348030,272.09,75,68,4.6
aksarka,1512019,RU,66.56,67.8,1588348051,268.0,98,97,4.21
tiruvallur,1254331,IN,13.15,79.92,1588347914,303.92,71,79,4.1
upernavik,3418910,GL,72.79,-56.15,1588348053,272.35,100,90,3.49
rusape,882100,ZW,-18.53,32.13,1588348054,291.8,37,44,2.83
bowen,2174444,AU,-20.02,148.23,1588347972,292.78,58,93,3.6
coihaique,3894426,CL,-45.58,-72.07,1588348057,278.15,90,86,1.14
asau,686090,RO,46.43,26.4,1588348058,290.93,75,77,5.1
katobu,1640972,ID,-4.94,122.53,1588348059,297.8,0,84,1.68
meulaboh,1214488,ID,4.14,96.13,1588348060,298.36,100,87,1.45
kalmunai,1242110,LK,7.42,81.82,1588348061,301.61,46,78,1.74
sur,286245,OM,22.57,59.53,1588348063,305.29,6,52,2.27
kropotkin,540761,RU,45.44,40.58,1588348064,290.58,85,59,3.27
anjiang,1818051,CN,27.32,110.1,1588348065,294.41,76,80,1.1
kirkenaer,3150261,NO,60.46,12.06,1588348066,282.81,99,47,0.45
singaraja,1626932,ID,-8.11,115.09,1588348067,299.61,58,73,1.45
bubaque,2374583,GW,11.28,-15.83,1588348069,299.82,37,74,4.67
chiang mai,1153671,TH,18.79,98.98,1588347787,299.08,75,88,2.6
berlevag,780687,NO,70.86,29.09,1588348071,274.27,38,88,5.35
kysyl-syr,2021017,RU,63.9,122.76,1588348072,266.95,29,95,3.51
tiksi,2015306,RU,71.69,128.87,1588348073,263.09,100,95,3.52
adrar,2381972,MR,20.5,-10.07,1588348075,308.41,0,9,4.08
khandbari,1283217,NP,27.37,87.2,1588348076,293.51,99,52,1.11
samarai,2132606,PG,-10.62,150.67,1588348077,300.93,58,82,4.44
kruisfontein,986717,ZA,-34.0,24.73,1588348078,288.66,100,70,0.82
severo-kurilsk,2121385,RU,50.68,156.12,1588348079,276.26,35,80,3.82
biloela,2175819,AU,-24.42,150.5,1588348080,283.63,0,44,2.33
deniliquin,2169068,AU,-35.53,144.97,1588348082,281.48,12,85,5.81
carnarvon,2074865,AU,-24.87,113.63,1588348083,292.15,0,55,3.6
ketchikan,5554428,US,55.34,-131.65,1588348002,280.33,1,100,2.1
gorele,746565,TR,41.03,39.0,1588348085,289.15,75,82,4.1
rijeka,3191648,HR,45.34,14.41,1588348086,291.03,20,52,4.6
leningradskiy,2123814,RU,69.38,178.42,1588348088,264.5,12,89,2.9
santa rosa,1687894,PH,14.31,121.11,1588347857,301.88,20,66,2.6
cherskiy,2126199,RU,68.75,161.3,1588348090,267.9,28,95,4.96
pringsewu,1630639,ID,-5.36,104.97,1588348091,297.32,96,89,1.07
grand baie,934482,MU,-20.02,57.58,1588348092,297.59,10,67,3.13
bukachacha,2026023,RU,52.98,116.92,1588348094,274.76,38,52,3.96
nicoya,3622716,CR,10.15,-85.45,1588347902,304.15,100,52,2.1
albert,3038271,FR,50.0,2.65,1588348096,284.43,31,93,6.2
finnsnes,3157549,NO,69.23,17.98,1588348097,277.15,75,69,4.6
angoche,1052944,MZ,-16.23,39.91,1588348098,299.04,0,75,4.0
lander,5830007,US,42.83,-108.73,1588348100,287.27,20,50,1.5
port lincoln,2063036,AU,-34.73,135.87,1588348101,288.1,83,75,8.46
eunice,4323900,US,30.49,-92.42,1588348102,296.49,1,69,3.1
rundu,3353383,NA,-17.93,19.77,1588348103,298.15,0,15,1.0
marquette,5000950,US,46.53,-87.63,1588348104,288.15,5,26,4.6
acapulco,3533462,MX,16.86,-99.89,1588348080,302.15,20,42,2.1
zemio,235826,CF,5.03,25.14,1588348107,298.94,88,67,2.64
isangel,2136825,VU,-19.55,169.27,1588348108,297.49,5,84,4.76
chuy,3443061,UY,-33.7,-53.46,1588348109,291.8,23,61,4.92
caceres,2520610,ES,39.52,-6.37,1588348110,295.93,100,64,2.24
xai-xai,1024552,MZ,-25.05,33.64,1588348112,294.85,0,84,3.09
houston,4699066,US,29.76,-95.36,1588347349,298.65,20,50,4.1
brae,2654970,GB,60.4,-1.35,1588348114,282.15,100,87,8.2
presidencia roque saenz pena,3840300,AR,-26.79,-60.44,1588348115,290.59,97,79,2.03
apodi,3407440,BR,-5.66,-37.8,1588348116,304.34,70,58,3.33
anadyr,2127202,RU,64.75,177.48,1588348118,263.15,75,92,1.0
cervo,3125287,ES,43.67,-7.41,1588348119,290.37,97,88,6.26
sinnamary,3380290,GF,5.38,-52.95,1588348120,299.64,100,88,5.4
dossor,610023,KZ,47.53,52.98,1588348121,294.23,24,26,5.01
biltine,244878,TD,14.53,20.92,1588348122,313.75,3,6,3.51
namatanai,2090021,PG,-3.67,152.43,1588348124,299.75,76,82,1.6
moose factory,6078372,CA,51.26,-80.61,1588348125,281.15,1,42,3.1
oranjemund,3354071,NA,-28.55,16.43,1588348127,295.15,93,36,7.08
elat,295277,IL,29.56,34.95,1588348128,306.15,0,17,6.2
